yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2018,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,50 - 55,<10,<10,33,57,90,10,NULL
2018,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,50 - 55,<10,<10,33,57,90,10,670
2018,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,50 - 55,<10,<10,29,67,>90,<10,NULL
2018,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,50 - 55,<10,<10,29,67,>90,<10,652
2018,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,0,40 - 45,<10,<10,30,49,79,<10,NULL
2018,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (H),28615,11,40 - 45,<10,<10,30,49,79,<10,1176
2018,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,285 - 290,<10,<10,23,66,89,11,NULL
2018,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,85 - 90,<10,12,26,61,87,13,565
2018,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,85 - 90,<10,<10,29,59,87,13,594
2018,sch,mat,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,115 - 120,<10,<10,17,76,>90,<10,665
2018,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,285 - 290,<10,<10,48,43,>90,<10,NULL
2018,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,6,85 - 90,<10,<10,53,39,>90,<10,682
2018,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,7,85 - 90,<10,<10,47,44,>90,<10,689
2018,sch,rea,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,110 - 115,<10,<10,46,46,>90,<10,709
2018,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,0,115 - 120,10,10,38,43,81,19,NULL
2018,sch,sci,95Percent,Academy for Science and Design Charter School,725,Academy for Science and Design Charter (M),28580,8,115 - 120,10,10,38,43,81,19,866
2018,sch,mat,95Percent,Allenstown,9,Allenstown Elementary School,22580,0,65 - 70,17,28,37,18,55,45,NULL
2018,sch,mat,95Percent,Allenstown,9,Allenstown Elementary School,22580,3,30 - 35,24,18,36,21,58,42,430
2018,sch,mat,95Percent,Allenstown,9,Allenstown Elementary School,22580,4,30 - 35,<10,38,38,16,53,47,466
2018,sch,rea,95Percent,Allenstown,9,Allenstown Elementary School,22580,0,65 - 70,29,17,31,23,54,46,NULL
2018,sch,rea,95Percent,Allenstown,9,Allenstown Elementary School,22580,3,30 - 35,27,21,30,21,52,48,578
2018,sch,rea,95Percent,Allenstown,9,Allenstown Elementary School,22580,4,30 - 35,31,13,31,25,56,44,603
2018,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,26,34,24,16,40,60,NULL
2018,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,44,21,15,21,36,64,482
2018,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,6,45 - 50,22,27,36,16,51,49,509
2018,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,7,35 - 40,26,39,21,13,34,66,527
2018,sch,mat,95Percent,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,12,52,21,15,36,64,590
2018,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,0,155 - 160,20,27,35,18,53,47,NULL
2018,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,23,21,26,31,56,44,631
2018,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,6,45 - 50,20,33,33,13,47,53,641
2018,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,7,35 - 40,24,29,39,<10,47,53,639
2018,sch,rea,95Percent,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,12,24,42,21,64,36,678
2018,sch,sci,95Percent,Allenstown,9,Armand R. Dupont School,22575,0,70 - 75,33,21,33,13,46,54,NULL
2018,sch,sci,95Percent,Allenstown,9,Armand R. Dupont School,22575,5,35 - 40,38,15,31,15,46,54,549
2018,sch,sci,95Percent,Allenstown,9,Armand R. Dupont School,22575,8,30 - 35,27,27,36,<10,45,55,852
2018,sch,mat,95Percent,Alton,15,Alton Central School (Elem),22480,0,295 - 300,27,30,27,16,43,57,NULL
2018,sch,mat,95Percent,Alton,15,Alton Central School (Elem),22480,3,50 - 55,26,26,31,17,48,52,428
2018,sch,mat,95Percent,Alton,15,Alton Central School (Elem),22480,4,40 - 45,34,20,37,10,46,54,449
2018,sch,mat,95Percent,Alton,15,Alton Central School (Elem),22480,5,45 - 50,26,39,22,13,35,65,485
2018,sch,mat,95Percent,Alton,15,Alton Central School (Elem),22480,6,45 - 50,28,38,23,11,34,66,503
2018,sch,mat,95Percent,Alton,15,Alton Central School (Elem),22480,7,50 - 55,22,26,20,32,52,48,549
2018,sch,mat,95Percent,Alton,15,Alton Central School (Elem),22480,8,55 - 60,29,29,29,12,41,59,563
2018,sch,rea,95Percent,Alton,15,Alton Central School (Elem),22480,0,295 - 300,28,27,32,14,45,55,NULL
2018,sch,rea,95Percent,Alton,15,Alton Central School (Elem),22480,3,50 - 55,24,26,33,17,50,50,585
2018,sch,rea,95Percent,Alton,15,Alton Central School (Elem),22480,4,40 - 45,41,22,20,17,37,63,586
2018,sch,rea,95Percent,Alton,15,Alton Central School (Elem),22480,5,45 - 50,33,17,41,<10,50,50,615
2018,sch,rea,95Percent,Alton,15,Alton Central School (Elem),22480,6,45 - 50,26,47,21,<10,28,72,622
2018,sch,rea,95Percent,Alton,15,Alton Central School (Elem),22480,7,50 - 55,22,26,30,22,52,48,651
2018,sch,rea,95Percent,Alton,15,Alton Central School (Elem),22480,8,55 - 60,25,23,42,11,53,47,655
2018,sch,sci,95Percent,Alton,15,Alton Central School (Elem),22480,0,100 - 105,41,25,30,<10,35,65,NULL
2018,sch,sci,95Percent,Alton,15,Alton Central School (Elem),22480,5,40 - 45,34,30,27,<10,36,64,549
2018,sch,sci,95Percent,Alton,15,Alton Central School (Elem),22480,8,55 - 60,46,21,32,<10,33,67,847
2018,sch,mat,95Percent,Amherst,17,Amherst Middle School,21745,0,615 - 620,<10,24,50,19,69,31,NULL
2018,sch,mat,95Percent,Amherst,17,Amherst Middle School,21745,5,130 - 135,<10,19,66,<10,73,27,NULL
2018,sch,mat,95Percent,Amherst,17,Amherst Middle School,21745,6,135 - 140,<10,36,56,<10,61,39,NULL
2018,sch,mat,95Percent,Amherst,17,Amherst Middle School,21745,7,165 - 170,<10,28,59,<10,64,36,NULL
2018,sch,mat,95Percent,Amherst,17,Amherst Middle School,21745,8,175 - 180,<10,15,27,50,78,22,623
2018,sch,rea,95Percent,Amherst,17,Amherst Middle School,21745,0,615 - 620,<10,27,57,12,69,31,NULL
2018,sch,rea,95Percent,Amherst,17,Amherst Middle School,21745,5,130 - 135,<10,17,70,10,80,20,NULL
2018,sch,rea,95Percent,Amherst,17,Amherst Middle School,21745,6,135 - 140,<10,20,74,<10,78,22,NULL
2018,sch,rea,95Percent,Amherst,17,Amherst Middle School,21745,7,170 - 175,<10,42,51,<10,57,43,NULL
2018,sch,rea,95Percent,Amherst,17,Amherst Middle School,21745,8,175 - 180,<10,25,40,26,66,34,679
2018,sch,sci,95Percent,Amherst,17,Amherst Middle School,21745,0,180 - 185,14,23,51,11,62,38,NULL
2018,sch,sci,95Percent,Amherst,17,Amherst Middle School,21745,5, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2018,sch,sci,95Percent,Amherst,17,Amherst Middle School,21745,8,180 - 185,14,23,52,11,63,37,857
2018,sch,mat,95Percent,Amherst,17,Clark-Wilkins School,21750,0,270 - 275,<10,24,40,27,67,33,NULL
2018,sch,mat,95Percent,Amherst,17,Clark-Wilkins School,21750,3,125 - 130,<10,27,39,24,63,37,439
2018,sch,mat,95Percent,Amherst,17,Clark-Wilkins School,21750,4,140 - 145,<10,22,40,30,70,30,474
2018,sch,rea,95Percent,Amherst,17,Clark-Wilkins School,21750,0,265 - 270,20,22,32,26,58,42,NULL
2018,sch,rea,95Percent,Amherst,17,Clark-Wilkins School,21750,3,125 - 130,17,21,38,24,62,38,592
2018,sch,rea,95Percent,Amherst,17,Clark-Wilkins School,21750,4,140 - 145,23,23,26,28,54,46,609
2018,sch,mat,95Percent,Andover,19,Andover Elementary School,22130,0,165 - 170,14,34,34,18,52,48,NULL
2018,sch,mat,95Percent,Andover,19,Andover Elementary School,22130,3,20 - 25,<10,32,41,18,59,41,438
2018,sch,mat,95Percent,Andover,19,Andover Elementary School,22130,4,30 - 35,12,32,53,<10,56,44,460
2018,sch,mat,95Percent,Andover,19,Andover Elementary School,22130,5,25 - 30,<10,36,18,46,64,36,509
2018,sch,mat,95Percent,Andover,19,Andover Elementary School,22130,6,25 - 30,<10,28,45,21,66,34,532
2018,sch,mat,95Percent,Andover,19,Andover Elementary School,22130,7,20 - 25,26,39,26,<10,35,65,536
2018,sch,mat,95Percent,Andover,19,Andover Elementary School,22130,8,30 - 35,27,39,21,12,33,67,576
2018,sch,rea,95Percent,Andover,19,Andover Elementary School,22130,0,165 - 170,<10,24,42,28,70,30,NULL
2018,sch,rea,95Percent,Andover,19,Andover Elementary School,22130,3,20 - 25,<10,41,36,23,59,41,600
2018,sch,rea,95Percent,Andover,19,Andover Elementary School,22130,4,30 - 35,24,18,32,26,59,41,608
2018,sch,rea,95Percent,Andover,19,Andover Elementary School,22130,5,25 - 30,<10,18,43,39,82,18,649
2018,sch,rea,95Percent,Andover,19,Andover Elementary School,22130,6,25 - 30,<10,21,34,41,76,24,675
2018,sch,rea,95Percent,Andover,19,Andover Elementary School,22130,7,20 - 25,<10,17,65,17,83,17,671
2018,sch,rea,95Percent,Andover,19,Andover Elementary School,22130,8,30 - 35,<10,30,45,21,67,33,680
2018,sch,sci,95Percent,Andover,19,Andover Elementary School,22130,0,60 - 65,22,37,35,<10,42,58,NULL
2018,sch,sci,95Percent,Andover,19,Andover Elementary School,22130,5,25 - 30,<10,33,48,11,59,41,555
2018,sch,sci,95Percent,Andover,19,Andover Elementary School,22130,8,30 - 35,33,39,24,<10,27,73,849
2018,sch,mat,95Percent,Ashland,23,Ashland Elementary School,20010,0,75 - 80,35,29,20,15,35,65,NULL
2018,sch,mat,95Percent,Ashland,23,Ashland Elementary School,20010,3,15-Oct,33,17,42,<10,50,50,422
2018,sch,mat,95Percent,Ashland,23,Ashland Elementary School,20010,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2018,sch,mat,95Percent,Ashland,23,Ashland Elementary School,20010,5,15-Oct,43,14,29,14,43,57,481
2018,sch,mat,95Percent,Ashland,23,Ashland Elementary School,20010,6,15 - 20,37,26,11,26,37,63,502
2018,sch,mat,95Percent,Ashland,23,Ashland Elementary School,20010,7, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2018,sch,mat,95Percent,Ashland,23,Ashland Elementary School,20010,8,15 - 20,53,23,12,12,23,76,551
2018,sch,rea,95Percent,Ashland,23,Ashland Elementary School,20010,0,75 - 80,16,15,41,28,68,32,NULL
2018,sch,rea,95Percent,Ashland,23,Ashland Elementary School,20010,3,15-Oct,42,25,<10,25,33,67,564
2018,sch,rea,95Percent,Ashland,23,Ashland Elementary School,20010,4, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2018,sch,rea,95Percent,Ashland,23,Ashland Elementary School,20010,5,15-Oct,21,14,36,29,64,36,633
2018,sch,rea,95Percent,Ashland,23,Ashland Elementary School,20010,6,15 - 20,11,<10,63,21,84,16,663
2018,sch,rea,95Percent,Ashland,23,Ashland Elementary School,20010,7, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2018,sch,rea,95Percent,Ashland,23,Ashland Elementary School,20010,8,15 - 20,12,23,35,29,64,35,683
2018,sch,sci,95Percent,Ashland,23,Ashland Elementary School,20010,0,30 - 35,31,28,31,<10,41,59,NULL
2018,sch,sci,95Percent,Ashland,23,Ashland Elementary School,20010,5,15-Oct,29,29,29,14,43,57,551
2018,sch,sci,95Percent,Ashland,23,Ashland Elementary School,20010,8,15 - 20,33,28,33,<10,39,61,852
2018,sch,mat,95Percent,Auburn,29,Auburn Village School,20530,0,420 - 425,12,29,36,24,59,41,NULL
2018,sch,mat,95Percent,Auburn,29,Auburn Village School,20530,3,70 - 75,17,24,35,24,59,41,435
2018,sch,mat,95Percent,Auburn,29,Auburn Village School,20530,4,55 - 60,<10,28,53,18,70,30,472
2018,sch,mat,95Percent,Auburn,29,Auburn Village School,20530,5,70 - 75,20,32,39,<10,48,52,486
2018,sch,mat,95Percent,Auburn,29,Auburn Village School,20530,6,80 - 85,<10,35,28,31,59,41,529
2018,sch,mat,95Percent,Auburn,29,Auburn Village School,20530,7,60 - 65,14,24,35,27,62,38,559
2018,sch,mat,95Percent,Auburn,29,Auburn Village School,20530,8,75 - 80,13,27,28,32,60,40,600
2018,sch,rea,95Percent,Auburn,29,Auburn Village School,20530,0,415 - 420,12,24,41,22,64,36,NULL
2018,sch,rea,95Percent,Auburn,29,Auburn Village School,20530,3,70 - 75,14,24,32,30,62,38,595
2018,sch,rea,95Percent,Auburn,29,Auburn Village School,20530,4,55 - 60,<10,30,26,35,61,39,619
2018,sch,rea,95Percent,Auburn,29,Auburn Village School,20530,5,70 - 75,20,20,41,20,61,39,627
2018,sch,rea,95Percent,Auburn,29,Auburn Village School,20530,6,80 - 85,11,22,48,19,67,33,655
2018,sch,rea,95Percent,Auburn,29,Auburn Village School,20530,7,60 - 65,<10,22,54,16,70,30,663
2018,sch,rea,95Percent,Auburn,29,Auburn Village School,20530,8,75 - 80,11,28,43,18,62,38,673
2018,sch,sci,95Percent,Auburn,29,Auburn Village School,20530,0,145 - 150,30,34,28,<10,35,65,NULL
2018,sch,sci,95Percent,Auburn,29,Auburn Village School,20530,5,70 - 75,39,31,23,<10,30,70,547
2018,sch,sci,95Percent,Auburn,29,Auburn Village School,20530,8,75 - 80,22,38,32,<10,40,60,853
2018,sch,mat,95Percent,Barnstead,31,Barnstead Elementary School,22485,0,295 - 300,28,26,26,20,46,54,NULL
2018,sch,mat,95Percent,Barnstead,31,Barnstead Elementary School,22485,3,50 - 55,20,18,40,22,62,38,435
2018,sch,mat,95Percent,Barnstead,31,Barnstead Elementary School,22485,4,55 - 60,18,23,35,25,60,40,464
2018,sch,mat,95Percent,Barnstead,31,Barnstead Elementary School,22485,5,30 - 35,35,35,18,12,29,71,474
2018,sch,mat,95Percent,Barnstead,31,Barnstead Elementary School,22485,6,45 - 50,15,36,26,23,49,51,522
2018,sch,mat,95Percent,Barnstead,31,Barnstead Elementary School,22485,7,50 - 55,39,26,22,13,35,65,526
